,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
988,0.124527764,0.669379626,0.204510331,0.384374823,0.456276702,0.179829514,0.004527259,0.716310418,0.669380669,0.715353485,11581,New York,40.6537582,-73.7031609
989,0.12612343,0.669929001,0.205677679,0.386582025,0.457686782,0.181448582,0.005800794,0.717566507,0.669930043,0.716662264,11590,New York,40.76066,-73.585285
990,0.123793057,0.669202471,0.20404323,0.383384147,0.45568528,0.179140853,0.004466892,0.715792573,0.669203515,0.714809957,11691,New York,40.60079,-73.75425
991,0.122849646,0.668124028,0.202731241,0.381824871,0.454287082,0.177687616,0.003915971,0.714441904,0.668125071,0.71344202,11694,New York,40.57546,-73.856085
992,0.126865189,0.672826659,0.20842151,0.38849107,0.460318373,0.183949368,0.008368093,0.720275175,0.672827701,0.719346391,11701,New York,40.677245,-73.418045
993,0.127744833,0.673848362,0.209664834,0.38994568,0.46163181,0.185315697,0.009679447,0.721544127,0.673849404,0.72063097,11702,New York,40.69984,-73.322505
994,0.127662361,0.673367592,0.209229075,0.38968221,0.461221935,0.184934229,0.009282631,0.721116481,0.673368635,0.72020907,11704,New York,40.717335,-73.347675
995,0.128463793,0.674521663,0.210548339,0.391080694,0.462584685,0.186326472,0.010669412,0.722451162,0.674522705,0.721553789,11706,New York,40.7265495,-73.2512226
996,0.125940817,0.671510178,0.206913808,0.386880546,0.458756111,0.182352389,0.006843117,0.718745864,0.671511221,0.717805144,11710,New York,40.6657421,-73.5287341
997,0.131129133,0.677962176,0.214610336,0.395592398,0.466815798,0.190691604,0.015069517,0.726565687,0.677963218,0.725708847,11713,New York,40.77691,-72.947475
998,0.126690065,0.671515657,0.207252894,0.387832819,0.459229643,0.18294522,0.007290541,0.719132753,0.6715167,0.718221485,11714,New York,40.728805,-73.48397
999,0.129996414,0.676139695,0.212587273,0.393558926,0.464751458,0.188602864,0.012975851,0.724529866,0.676140738,0.723662653,11716,New York,40.77414,-73.091585
1000,0.130548486,0.675415429,0.212252389,0.394023398,0.464562571,0.188577408,0.013149565,0.724231456,0.675416471,0.723399664,11720,New York,40.858275,-73.089045
1001,0.12854065,0.671415828,0.208021731,0.390146266,0.46031758,0.1843595,0.009167113,0.719994386,0.67141687,0.719157812,11721,New York,40.8902074,-73.3787093
1002,0.12782742,0.670609886,0.207023457,0.388971049,0.459266118,0.18325801,0.007991786,0.718982183,0.670610929,0.71813241,11724,New York,40.8702985,-73.4554723
1003,0.128836379,0.672924836,0.209402854,0.391025692,0.461630211,0.185580626,0.010118104,0.721359608,0.672925878,0.720506758,11725,New York,40.8393268,-73.2965971
1004,0.128890614,0.672208349,0.208838503,0.390855585,0.461129874,0.185158072,0.009882629,0.720810711,0.672209391,0.719973272,11731,New York,40.88003,-73.324005
1005,0.127079441,0.669835181,0.206035965,0.387761735,0.458215956,0.18214922,0.006784157,0.717977068,0.669836224,0.717112135,11732,New York,40.8458829,-73.5329425
1006,0.127059988,0.67239747,0.208152205,0.388595946,0.46012034,0.18381932,0.008172322,0.720030188,0.672398513,0.719117108,11735,New York,40.71553,-73.424565
1007,0.12849793,0.671839889,0.208351034,0.390234255,0.460607549,0.184601171,0.009266814,0.720314355,0.671840931,0.719468277,11740,New York,40.86533,-73.36302
1008,0.130605986,0.676349575,0.213044428,0.394402564,0.465291757,0.189227969,0.013673925,0.725009162,0.676350617,0.724162099,11742,New York,40.815355,-73.046265
1009,0.128055461,0.67092392,0.207389026,0.38936583,0.459644493,0.183646953,0.008386735,0.719351308,0.670924962,0.718504721,11743,New York,40.8738497,-73.4285012
1010,0.127999427,0.671424772,0.207776359,0.389462997,0.459983805,0.183928952,0.008510195,0.719726498,0.671425814,0.718868476,11746,New York,40.8440324,-73.4102886
1011,0.127793698,0.671824667,0.208011698,0.389335946,0.460153323,0.184025718,0.008468943,0.719943781,0.671825709,0.719070267,11747,New York,40.806545,-73.40535
1012,0.128844943,0.674962694,0.211086776,0.391709889,0.463152324,0.186917683,0.01126076,0.722999232,0.674963736,0.722108641,11751,New York,40.73641,-73.2099
1013,0.12665504,0.670358728,0.206275764,0.387400517,0.458341984,0.182154331,0.006546355,0.718183517,0.670359771,0.717292271,11753,New York,40.7839742,-73.5354502
1014,0.129407433,0.673047165,0.209771367,0.391791104,0.462081141,0.186120884,0.010827689,0.721748569,0.673048208,0.720915938,11754,New York,40.8815439,-73.2575157
1015,0.130239168,0.6751833,0.211916137,0.39355404,0.464194948,0.188177409,0.012705275,0.723887664,0.675184342,0.723048012,11755,New York,40.84379,-73.117305
